% This MetaLexicon was created by taking the union of the following manually created lexical resources:
%
%   1. AFINN
%   2. NRC Word-Emotion Association Lexicon (words with no emotion associations are taken as neutral)
%   3. Bing Liu's Opinion Lexicon
%   4. MPQA Subjectivity Lexicon
%
% We discarded all the words where a polarity clash between two or more lexicons was observed.

@relation 'MetaLex'

@attribute term string
@attribute polarity {negative,neutral,positive}

@data
:/,negative
:(,negative
:),positive
(-:,positive
:#,negative
|d,positive
d:,negative
:9,positive
:3,positive
=],positive
:p,positive
=[,negative
(o:,positive
:o,negative
:d,positive
:e,negative
:f,negative
'}:)',positive
:x,positive
=),positive
=(,negative
<o<,negative
:\,negative
:],positive
8),positive
8/,negative
:-(o),negative
b(,negative
</3,negative
':\'(',negative
(^_^),positive
%-),positive
%-(,negative
:-d,positive
>=d,positive
:-|,negative
':-}',positive
:-s,negative
:-p,positive
)o:,negative
bc,negative
8c,negative
38*,negative
':\'-(',negative
:þ,positive
'(^ ^)',positive
:-(,negative
:-),positive
:…(,negative
:-&,negative
^_^,positive
(^.^),positive
0:),positive
8\,negative
)-:,negative
8-0,negative
>o>,negative
):,negative
xo,negative
xd,positive
>/,negative
xp,negative
x-(,negative
:*(,negative
:o(,negative
:o),positive
>:),positive
>:(,negative
':,(',negative
^o),negative
>[,negative
>\,negative
>:d,positive
>:o,negative
>:l,negative
*\o/*,positive
(:,positive
<3,positive
x3?,positive
--^--@,positive
:_(,negative
:b),positive
'@}->--',positive
(^-^),positive
;^),positive
2-faced,negative
2-faces,negative
a+,positive
aback,neutral
abandon,negative
abandoned,negative
abandonment,negative
abandons,negative
abase,negative
abasement,negative
abash,negative
abatement,neutral
abba,positive
abbreviate,neutral
abbreviation,neutral
abdicate,negative
abdomen,neutral
abdominal,neutral
abducted,negative
abduction,negative
abductions,negative
aberrant,negative
aberration,negative
abeyance,neutral
abhor,negative
abhorred,negative
abhorrence,negative
abhorrent,negative
abhorrently,negative
abhors,negative
abidance,positive
abilities,positive
ability,positive
abject,negative
abjectly,negative
abjure,negative
ablation,neutral
ablaze,neutral
able,positive
abnormal,negative
abode,neutral
abolish,negative
abolition,negative
abominable,negative
abominably,negative
abominate,negative
abomination,negative
aboriginal,neutral
abort,negative
aborted,negative
abortion,negative
abortive,negative
aborts,negative
abounds,positive
above,positive
above-average,positive
abovementioned,positive
abrade,negative
abrasion,negative
abrasive,negative
abroad,neutral
abrogate,negative
abrupt,negative
abscess,negative
abscond,negative
absence,negative
absent,negative
absent-minded,negative
absentee,negative
absenteeism,negative
absentees,negative
absinthe,neutral
absolutely,neutral
absolution,positive
absolve,positive
absolved,positive
absolves,positive
absolving,positive
absorbent,neutral
absorbing,neutral
absorption,neutral
abstain,neutral
abstention,neutral
abstinence,neutral
abstract,neutral
abstraction,neutral
absurd,negative
absurdity,negative
absurdly,negative
absurdness,negative
abundant,positive
abuse,negative
abused,negative
abuses,negative
abusive,negative
abutment,neutral
aby,neutral
abysmal,negative
abysmally,negative
abyss,negative
academic,positive
academy,positive
acceleration,neutral
accent,neutral
accentuate,neutral
acceptable,positive
acceptance,positive
accepted,positive
accepting,positive
accepts,positive
access,neutral
accessable,positive
accessible,positive
accession,neutral
accessory,neutral
accident,negative
accidental,negative
accidentally,negative
accidents,negative
acclaim,positive
acclaimed,positive
acclamation,positive
accolade,positive
accolades,positive
accommodate,neutral
accommodation,positive
accommodative,positive
accomodative,positive
accompaniment,positive
accompany,neutral
accompanying,neutral
accomplice,neutral
accomplish,positive
accomplished,positive
accomplishes,positive
accomplishment,positive
accomplishments,positive
accord,positive
accordantly,positive
accordion,neutral
accost,negative
accountability,positive
accounting,neutral
accredited,positive
accretion,neutral
accrue,neutral
accueil,positive
accumulate,neutral
accumulation,neutral
accuracy,neutral
accurate,positive
accurately,positive
accursed,negative
accusation,negative
accusations,negative
accusative,negative
accuse,negative
accused,negative
accuser,negative
accuses,negative
accusing,negative
accusingly,negative
accustomed,neutral
ace,positive
acerbate,negative
acerbic,negative
acerbically,negative
acetic,neutral
ache,negative
ached,negative
aches,negative
achey,negative
achievable,positive
achieve,positive
achievement,positive
achievements,positive
achievible,positive
aching,negative
acid,negative
acidity,neutral
acknowledged,neutral
acknowledgement,positive
acknowledgment,positive
acme,neutral
acoustic,neutral
acoustics,neutral
acquaint,neutral
acquaintance,neutral
acquainted,neutral
acquiescence,neutral
acquire,positive
acquiring,positive
acquisition,neutral
acquisitions,neutral
acquit,positive
acquits,positive
acquitted,positive
acquitting,positive
acreage,neutral
acres,neutral
acrid,negative
acridly,negative
acridness,negative
acrimonious,negative
acrimoniously,negative
acrimony,negative
acrobat,positive
act,neutral
acting,neutral
action,positive
actionable,negative
activist,neutral
activity,neutral
actor,neutral
actuality,neutral
actually,neutral
actuary,neutral
acuity,positive
acumen,positive
acupuncture,neutral
acutely,neutral
adage,neutral
adamantly,negative
adapt,positive
adaptability,positive
adaptable,positive
adaptive,positive
add,neutral
added,neutral
addendum,neutral
adder,negative
addict,negative
addicted,negative
addicting,negative
addiction,negative
addicts,negative
addition,neutral
additional,neutral
additive,neutral
address,neutral
addressee,neutral
addresses,positive
adept,positive
adeptly,positive
adequacy,positive
adhere,neutral
adhesive,neutral
adieu,neutral
adipose,negative
adjacency,neutral
adjacent,neutral
adjective,neutral
adjoining,neutral
adjourn,neutral
adjournment,neutral
adjudicate,negative
adjudication,neutral
adjunct,positive
adjust,neutral
adjustable,positive
adjustment,neutral
adjuvant,neutral
administer,neutral
administration,neutral
admirable,positive
admirably,positive
admiral,positive
admiralty,neutral
admiration,positive
admire,positive
admired,positive
admirer,positive
admires,positive
admiring,positive
admiringly,positive
admissibility,neutral
admissible,positive
admits,negative
admittance,neutral
admittedly,positive
admitting,neutral
admixture,neutral
admonish,negative
admonished,negative
admonisher,negative
admonishingly,negative
admonishment,negative
admonition,negative
ado,neutral
adobe,neutral
adolescence,neutral
adolescent,neutral
adolescents,neutral
adoption,neutral
adopts,positive
adorable,positive
adoration,positive
adore,positive
adored,positive
adorer,positive
adores,positive
adoring,positive
adoringly,positive
adorn,neutral
adornment,neutral
adrift,negative
adroit,positive
adroitly,positive
adulate,positive
adulation,positive
adulatory,positive
adult,neutral
adulterate,negative
adulterated,negative
adulteration,negative
adulterier,negative
adultery,negative
advance,positive
advanced,positive
advancement,positive
advancing,neutral
advantage,positive
advantageous,positive
advantageously,positive
advantages,positive
advent,positive
adventure,positive
adventurer,neutral
adventures,positive
adventuresome,positive
adventurism,positive
adventurous,positive
adversarial,negative
adversary,negative
adverse,negative
adversity,negative
advertise,neutral
advertisement,neutral
advice,positive
